FEATURE CARRIED,CONDITION RATING,VERBAL RATING
KINGS HIGHWAY,6.628,VGOOD
HIGHLAWN AVE,6.280,VGOOD
AVENUE S,5.967,GOOD
AVENUE T,6.000,GOOD
AVENUE U,5.294,GOOD
21ST AVE,4.026,FAIR
4TH AVE,6.250,VGOOD
9TH AVE,5.736,GOOD
LIBERTY AVE,6.103,VGOOD
GLENMORE AVE,6.456,VGOOD
PITKIN AVE,6.279,VGOOD
SUTTER AVE,6.292,VGOOD
BLAKE AVE,4.927,FAIR
LIVONIA AVE PED BRDG,4.833,FAIR
7TH AVE,6.042,VGOOD
9TH AVE,4.667,FAIR
EAST DR (ENDALE ARCH),4.300,FAIR
WEST DR (MEADOWPORT ARCH),5.321,GOOD
EAST DRIVE,4.878,FAIR
EAST DR (EAST WOOD ARCH),4.667,FAIR
CENTER DR (NETHERMEAD ARCHES),5.000,GOOD
HILL DR (CLEFT RIDGE SPAN),4.433,FAIR
WEST FT BRDG (MUSIC GROVE  BRDG),5.000,GOOD
HILL DR (TERRACE BRDG),3.291,FAIR
PED NR BOATHSE (LULLWATER BRDG),4.885,FAIR
RIDGE BLVD,6.333,VGOOD
3RD AVE,6.273,VGOOD
ATLNTC AV SVC RD E.B.,5.474,GOOD
ATLNTC AV SVC RD W.B.,5.105,GOOD
FLEET WALK PED BRDG,3.919,FAIR
CONDUIT BLVD NB,4.833,FAIR
SEELEY ST,4.033,FAIR
5TH AVE,5.333,GOOD
11TH AVE VIADUCT,4.056,FAIR
W 33RD ST,4.500,FAIR
W 33RD ST,4.500,FAIR
W 34TH ST,4.375,FAIR
W 35TH ST,4.181,FAIR
W 36TH ST,4.433,FAIR
MARGARET CORBIN DR,4.933,FAIR
MARGARET CORBIN DR,4.433,FAIR
W 37TH ST,6.079,VGOOD
W 38TH ST,4.135,FAIR
W 39TH ST,4.173,FAIR
W 43RD ST,4.662,FAIR
W 44TH ST,4.559,FAIR
W 45TH ST,5.338,GOOD
W 46TH ST,4.500,FAIR
W 47TH ST,4.721,FAIR
W 48TH ST,4.618,FAIR
W 49TH ST,4.426,FAIR
W 51ST ST,4.853,FAIR
W 52ND ST,5.191,GOOD
W 53RD ST,5.221,GOOD
W 58TH ST,4.706,FAIR
